indicador;infra;mes;origem;cp;regional;uf;municipio;psr;num_documento;dat_abertura;dat_fechamento;prazo_horas;status;cep;logradouro;nu_fachada;tipo_ordem;tecnico;gpon;cdo;celula;estacao;cod_encerramento;gra;cd_subscriber_hc;in_flag_indicador
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;AMIGONET00058;SUDESTE;RJ;CABO FRIO;ABILITY;V789559_20260205154821;2026-02-05 17:35:16 UTC;2026-02-11 14:43:05 UTC;141;COMPLETED;28907070;AVENIDA FRANCISCO MENDES;342;FIBRA_INSTALACAO_ORDEM;TR787965;A0002CRO7;CDOI-16501PS;165;CBF;00;CBF;PRO2G4BT0MW8;NAO
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;AMIGONET00058;SUDESTE;RJ;CABO FRIO;ABILITY;V236482_20260128162425;2026-01-28 16:30:17 UTC;2026-02-07 15:02:51 UTC;238;COMPLETED;28926524;AVENIDA INDEPENDENCIA;55;FIBRA_INSTALACAO_ORDEM;TR810690;A0002BRJ4;CDOE-2939;29;UNAR;00;;PRO3W8HOE1SJ;NAO
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;AMIGONET00058;SUDESTE;SP;GUARULHOS;ABILITY;V236482_20260206162101;2026-02-06 16:25:21 UTC;2026-02-09 13:44:30 UTC;69;COMPLETED;7131170;RUA ILHA COMPRIDA;241;FIBRA_INSTALACAO_ORDEM;TR565196;A0002CW94;CDOE-18807;188;BGR;00;SPO;PROPOJ69EYQC;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;AMIGONET00058;SUDESTE;SP;GUARULHOS;ABILITY;V554323_20260203181817;2026-02-03 18:25:25 UTC;2026-02-04 12:44:30 UTC;18;COMPLETED;7191070;RUA AURORA T THOMAZ;74;FIBRA_INSTALACAO_ORDEM;TR266381;A0002CHAE;CDOE-16712;167;BGR;00;SPO;PRO6LW8JMC0O;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;ALGAR;SUDESTE;SP;SOROCABA;ABILITY;NEU_01KGSMFXRD22N0J2G1FP82MN3Z;2026-02-06 11:08:21 UTC;2026-02-13 18:53:46 UTC;175;COMPLETED;18081270;RUA SIMAO MORENO ALVARES;158;FIBRA_INSTALACAO_ORDEM;TR788075;A0002CTW3;CDOE-54004;540;SOC1;00;SPO;010309395;NAO
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;ALGAR;SUDESTE;SP;SOROCABA;ABILITY;NEU_01KG8BPS4JXB4D4DS6NYM66DXD;2026-01-30 18:07:41 UTC;2026-02-03 19:24:09 UTC;97;COMPLETED;18103677;RUA TANIA CANDIDA VERISSIMO;3;FIBRA_INSTALACAO_ORDEM;TR810545;A0002C2HO;CDOE-1019;10;EDE;00;;010301856;NAO
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;ALGAR;SUDESTE;SP;GUARULHOS;ABILITY;NEU_01KGT5M6CSCTJ29CXERNDPHZ94;2026-02-06 16:07:39 UTC;2026-02-13 11:42:07 UTC;163;COMPLETED;7075123;RUA ANTONIO ALEXANDRE DE ARAUJO;661;FIBRA_INSTALACAO_ORDEM;TR746756;A0002CW4R;CDOE-37610;376;BGR;00;SPO;010310086;NAO
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;ALGAR;SUDESTE;SP;GUARULHOS;ABILITY;NEU_01KG8FKPWK40YMTJ80TEK2R9A8;2026-01-30 19:15:58 UTC;2026-02-02 13:16:43 UTC;66;COMPLETED;7151314;VIELA TIBRE;26;FIBRA_INSTALACAO_ORDEM;TR781111;A0002C2MT;CDOE-9006;90;CSP;00;;010302082;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;ALGAR;SUDESTE;SP;GUARULHOS;ABILITY;NEU_01KGFAT6RX6W0GSW6A5NK58NPQ;2026-02-02 11:06:41 UTC;2026-02-03 18:51:37 UTC;31;COMPLETED;7161723;RUA VIRA-COPOS;56;FIBRA_INSTALACAO_ORDEM;TR781111;A0002C88Z;CDOE-4002;40;CSP;00;;010303433;SIM
INSTALACAO NO PRAZO 96H;FTTH;2026-02-01;som;ALGAR;SUL;SC;FLORIANOPOLIS;ABILITY;NEU_01KH1JEXQY6ZA8RPKZKZT4VXT7;2026-02-09 13:06:46 UTC;2026-02-10 15:51:27 UTC;26;COMPLETED;88020520;SERVIDAO BERRETA;129;FIBRA_INSTALACAO_ORDEM;TR738176;A0002D3PT;CDOE-3110;31;FNS;00;SOO;010312495;SIM
