dat_referencia;origem;cp;regional;uf;municipio;psr;velocidade;estacao;fabricante;modelo;modelo_descricao;planta
2026-02-01;som;NIO;SUDESTE;RJ;CABO FRIO;ABILITY;500MBPS;;;;;0
2026-02-01;omr;NIO;;;;ABILITY;600 MBPS;"";;;;1
2026-02-01;omr;NIO;;;;ABILITY;700 MBPS;"";;;;1
2026-02-01;omr;NIO;SUL;SC;BLUMENAU;ABILITY;200 MBPS;AGVY;;;;1
2026-02-01;omr;NIO;SUDESTE;RJ;ARMACAO DOS BUZIOS;ABILITY;50 MBPS;ARBU;;;;1
2026-02-01;omr;NIO;SUDESTE;RJ;ARMACAO DOS BUZIOS;ABILITY;100 MBPS;ARBU;;;;1
2026-02-01;omr;NIO;SUDESTE;RJ;ARMACAO DOS BUZIOS;ABILITY;200 MBPS;ARBU;;;;1
2026-02-01;som;NIO;SUDESTE;RJ;ANGRA DOS REIS;ABILITY;400MBPS;ARS;;;;1
2026-02-01;omr;NIO;SUDESTE;RJ;ANGRA DOS REIS;ABILITY;500 MBPS;ARS;;;;1
2026-02-01;som;NIO;SUDESTE;RJ;ANGRA DOS REIS;ABILITY;700 MBPS;ARS;;;;1
2026-02-01;som;NIO;SUDESTE;RJ;ANGRA DOS REIS;ABILITY;500 MBPS;ARS;;;;9
2026-02-01;omr;NIO;SUDESTE;RJ;ANGRA DOS REIS;ABILITY;200 MBPS;ARS;;;;1
2026-02-01;som;NIO;SUDESTE;RJ;ANGRA DOS REIS;ABILITY;600 MBPS;ARS;;;;1
2026-02-01;omr;NIO;SUDESTE;RJ;BELFORD ROXO;ABILITY;200 MBPS;BERO;;;;4
2026-02-01;som;NIO;SUDESTE;RJ;BELFORD ROXO;ABILITY;600MBPS;BERO;;;;1
2026-02-01;omr;NIO;SUDESTE;RJ;BELFORD ROXO;ABILITY;400 MBPS;BERO;;;;4
2026-02-01;som;TIM;SUDESTE;SP;GUARULHOS;ABILITY;1000 MBPS;BGR;;;;1
2026-02-01;som;NIO;SUDESTE;RJ;BARRA MANSA;ABILITY;500 MBPS;BMA;;;;1
2026-02-01;omr;NIO;SUL;SC;BLUMENAU;ABILITY;200 MBPS;BNU;;;;1
2026-02-01;som;TIM;SUL;SC;BLUMENAU;ABILITY;500 MBPS;BNU;;;;1
2026-02-01;som;NIO;SUL;SC;BLUMENAU;ABILITY;500MBPS;BNU;;;;1
2026-02-01;omr;NIO;SUL;SC;BLUMENAU;ABILITY;600 MBPS;BNU;;;;1
2026-02-01;som;NIO;SUL;SC;BLUMENAU;ABILITY;500 MBPS;BNU;;;;1
2026-02-01;som;NIO;SUL;SC;BLUMENAU;ABILITY;1000 MBPS;BNU;;;;1
2026-02-01;omr;NIO;SUL;SC;BLUMENAU;ABILITY;500 MBPS;BNU;;;;1
2026-02-01;bov;NIO;SUL;SC;BLUMENAU;ABILITY;100 MBPS;BNU;;;;1
2026-02-01;omr;NIO;SUL;SC;BLUMENAU;ABILITY;400 MBPS;BNU;;;;1
2026-02-01;som;NIO;SUDESTE;RJ;BARRA DO PIRAI;ABILITY;500MBPS;BPI;;;;2
2026-02-01;omr;NIO;SUDESTE;RJ;BARRA DO PIRAI;ABILITY;100 MBPS;BPI;;;;1
2026-02-01;som;NIO;SUDESTE;RJ;BARRA DO PIRAI;ABILITY;500 MBPS;BPI;;;;3
2026-02-01;som;ASAP00018;SUL;SC;BRUSQUE;ABILITY;300MBPS;BQE;;;;1
2026-02-01;som;TIM;SUL;SC;BRUSQUE;ABILITY;500 MBPS;BQE;;;;1
2026-02-01;som;NIO;SUL;SC;FLORIANOPOLIS;ABILITY;400MBPS;CABJ;;;;1
2026-02-01;som;FIBROTICA;SUDESTE;SP;CAMPINAS;ABILITY;300MBPS;CAS1;;;;1
2026-02-01;som;NIO;SUDESTE;RJ;CABO FRIO;ABILITY;500 MBPS;CBF;;;;3
2026-02-01;bov;NIO;SUDESTE;RJ;CABO FRIO;ABILITY;50 MBPS;CBF;;;;3
2026-02-01;bov;NIO;SUDESTE;RJ;CABO FRIO;ABILITY;100 MBPS;CBF;;;;1
2026-02-01;omr;NIO;SUDESTE;RJ;CABO FRIO;ABILITY;200 MBPS;CBF;;;;3
2026-02-01;omr;NIO;SUDESTE;RJ;CABO FRIO;ABILITY;50 MBPS;CBF;;;;5
2026-02-01;som;NIO;SUDESTE;RJ;CABO FRIO;ABILITY;500MBPS;CBF;;;;1
2026-02-01;som;NIO;SUDESTE;RJ;CASIMIRO DE ABREU;ABILITY;500 MBPS;CBU;;;;1
2026-02-01;som;TIM;SUL;SC;CHAPECO;ABILITY;400MBPS;CCO;;;;1
2026-02-01;som;NIO;SUL;SC;CHAPECO;ABILITY;500 MBPS;CCO;;;;1
2026-02-01;som;BWTELECOM;SUL;SC;ITAJAI;ABILITY;400 MBPS;CDIS;;;;1
2026-02-01;som;NIO;;;;ABILITY;500MBPS;CDIS;;;;1
2026-02-01;som;NIO;SUL;SC;ITAJAI;ABILITY;400 MBPS;CDIS;;;;1
2026-02-01;som;TIM;SUL;SC;ITAJAI;ABILITY;300MBPS;CDIS;;;;1
2026-02-01;som;TIM;SUL;SC;ITAJAI;ABILITY;500 MBPS;CDIS;;;;3
2026-02-01;som;TIM;SUL;SC;ITAJAI;ABILITY;600 MBPS;CDIS;;;;1
2026-02-01;som;NIO;SUL;SC;ITAJAI;ABILITY;500 MBPS;CDIS;;;;1
2026-02-01;som;NIO;SUDESTE;RJ;CAMPOS DOS GOYTACAZES;ABILITY;500 MBPS;CPS;;;;1
2026-02-01;omr;NIO;SUDESTE;RJ;PETROPOLIS;ABILITY;200 MBPS;CRRS;;;;2
2026-02-01;som;TIM;SUDESTE;RJ;PETROPOLIS;ABILITY;700 MBPS;CRRS;;;;1
2026-02-01;som;NIO;;;;ABILITY;500MBPS;CRRS;;;;1
2026-02-01;som;NIO;SUDESTE;RJ;PETROPOLIS;ABILITY;700 MBPS;CRRS;;;;1
2026-02-01;som;NIO;SUDESTE;RJ;PETROPOLIS;ABILITY;500MBPS;CRRS;;;;4
2026-02-01;som;NIO;;;;ABILITY;400MBPS;CRRS;;;;1
2026-02-01;som;NIO;SUDESTE;RJ;PETROPOLIS;ABILITY;500 MBPS;CRRS;;;;3
2026-02-01;som;TIM;SUL;SC;CRICIUMA;ABILITY;500MBPS;CUA;;;;2
2026-02-01;som;NIO;SUL;SC;CRICIUMA;ABILITY;400MBPS;CUA;;;;1
2026-02-01;som;NIO;SUL;SC;BRUSQUE;ABILITY;700 MBPS;DJQM;;;;1
2026-02-01;bov;NIO;SUDESTE;RJ;DUQUE DE CAXIAS;ABILITY;;DQX;;;;4
